 action__cancel                                         | de | translator_01 | Abbrechen
 action__cancel                                         | de | translator_05 | Abbrechen
 action__cancel                                         | de | translator_01 | Stornieren
 action__cancel                                         | es | translator_01 | Cancelar
 action__cancel                                         | pt | translator_08 | Cancelar
 action__cancel                                         | uk | translator_01 | скасувати
 action__create                                         | de | translator_01 | Erstellen
 action__create                                         | es | translator_01 | Crear
 action__create                                         | pt | translator_08 | Criar
 action__create                                         | uk | translator_01 | створити
 action__delete                                         | de | translator_01 | Löschen
 action__delete                                         | es | translator_03 | Borrar
 action__delete                                         | es | translator_10 | Eliminar
 action__delete                                         | pt | translator_08 | Deletar
 action__delete                                         | uk | translator_02 | видалити
 action__done                                           | de | translator_01 | Erledigt
 action__done                                           | de | translator_01 | Fertig
 action__done                                           | es | translator_01 | Hecho
 action__done                                           | pt | translator_08 | Feito
 action__done                                           | uk | translator_02 | Виконано
 action__help                                           | de | translator_01 | Hilfe
 action__help                                           | es | translator_01 | Ayuda
 action__help                                           | pt | translator_08 | Ajuda
 action__help                                           | uk | translator_02 | Допомога
 action__invert_selection                               | de | translator_01 | Auswahl umkehren
 action__invert_selection                               | es | translator_01 | Invertir la selección
 action__invert_selection                               | pt | translator_08 | Inverter seleção
 action__invert_selection                               | uk | translator_02 | інвертувати виділення
 action__no                                             | de | translator_01 | Nein
 action__no                                             | es | translator_01 | No
 action__no                                             | pt | translator_08 | Não
 action__no                                             | uk | translator_02 | ні
 action__save                                           | de | translator_01 | Speichern
 action__save                                           | es | translator_03 | Guardar
 action__save                                           | pt | translator_08 | Salvar
 action__save                                           | uk | translator_02 | зберегти
 action__share                                          | de | translator_01 | Teilen
 action__share                                          | es | translator_03 | Compartir
 action__share                                          | pt | translator_08 | Compartilhar
 action__share                                          | uk | translator_02 | Поширити
 action__yes                                            | de | translator_01 | Ja
 action__yes                                            | de | translator_06 | Ja
 action__yes                                            | es | translator_01 | Sí
 action__yes                                            | pt | translator_08 | Sim
 action__yes                                            | uk | translator_02 | Так
 entries__by_author                                     | de | translator_01 | von %1$s
 entries__by_author                                     | es | translator_03 | por %1$s
 entries__by_author                                     | pt | translator_08 | por %1$s
 entries__by_author                                     | uk | translator_02 | за %1$s
 entries__empty                                         | de | translator_01 | Keine Einträge vorhanden
 entries__empty                                         | es | translator_03 | Nada que leer aquí
 entries__empty                                         | pt | translator_08 | Nada para ler agora
 entries__empty                                         | uk | translator_02 | Тут немає чого читати
 entries_menu__create_exclusion_rule                    | de | translator_09 | Ausnahmeregel erstellen
 entries_menu__create_exclusion_rule                    | de | translator_01 | Ausschlussregel erstellen
 entries_menu__create_exclusion_rule                    | de | translator_07 | Filterregel erstellen
 entries_menu__create_exclusion_rule                    | es | translator_01 | Crear regla de exclusión
 entries_menu__create_exclusion_rule                    | pt | translator_08 | Criar regra de exclusão
 entries_menu__create_exclusion_rule                    | uk | translator_02 | Створити правило винятку
 entries_menu__mark_all_as_read                         | de | translator_01 | Alles als gelesen markieren
 entries_menu__mark_all_as_read                         | es | translator_01 | Marcar todas como leídas
 entries_menu__mark_all_as_read                         | pt | translator_08 | Marcar todas como lidas
 entries_menu__mark_all_as_read                         | uk | translator_02 | Помітити все як прочитане
 entries_menu__mark_as_pinned                           | de | translator_01 | Als gepinnt markieren
 entries_menu__mark_as_pinned                           | de | translator_05 | Anheften
 entries_menu__mark_as_pinned                           | es | translator_01 | Marcar como fijada
 entries_menu__mark_as_pinned                           | pt | translator_08 | Marcar como fixada
 entries_menu__mark_as_pinned                           | uk | translator_02 | Помітити як пришпилене
 entries_menu__mark_as_read                             | de | translator_01 | Als gelesen markieren
 entries_menu__mark_as_read                             | es | translator_01 | Marcar como leída
 entries_menu__mark_as_read                             | pt | translator_08 | Marcar como lida
 entries_menu__mark_as_read                             | uk | translator_02 | Помітити як прочитане
 entries_menu__show_read_entries                        | de | translator_09 | Gelesene anzeigen
 entries_menu__show_read_entries                        | de | translator_01 | Gelesene Einträge anzeigen
 entries_menu__show_read_entries                        | es | translator_01 | Mostrar todas las entradas
 entries_menu__show_read_entries                        | pt | translator_08 | Mostrar entradas lidas
 entries_menu__show_read_entries                        | uk | translator_02 | Показати прочитані записи
 entries_menu__sort_by_date_asc                         | de | translator_01 | nach Datum, aufsteigend
 entries_menu__sort_by_date_asc                         | es | translator_01 | por fecha, ascendente
 entries_menu__sort_by_date_asc                         | pt | translator_08 | por data, ascendente
 entries_menu__sort_by_date_asc                         | uk | translator_02 | за датою, по висхідній
 entries_menu__sort_by_date_desc                        | de | translator_01 | nach Datum, absteigend
 entries_menu__sort_by_date_desc                        | es | translator_01 | por fecha, descendente
 entries_menu__sort_by_date_desc                        | pt | translator_08 | por data, descendente
 entries_menu__sort_by_date_desc                        | uk | translator_02 | за датою, по низхідній
 entries_menu__sort_by_title                            | de | translator_01 | nach Titel
 entries_menu__sort_by_title                            | es | translator_01 | por título
